unit_id,cycle,temp_inlet,temp_outlet,temp_exhaust,pressure_discharge,speed_shaft,speed_core,pressure_static,flow_rate,speed_corrected,speed_secondary,bypass_ratio,bleed_enthalpy,coolant_1,coolant_2
1,1,335.2,479.4,340.9,1450.4,1734.7,3452.3,983.7,0.865,1638.7,3322.5,3.83,390.0,0.0632,0.0458
1,2,331.8,477.3,338.9,1446.4,1742.2,3456.6,979.1,0.867,1638.2,3333.4,3.87,389.9,0.0643,0.0453
1,3,333.3,479.8,338.0,1446.2,1735.9,3451.8,979.7,0.86,1637.1,3328.9,3.86,391.8,0.0638,0.0467
1,4,337.0,481.0,339.7,1444.2,1749.0,3461.3,984.0,0.865,1644.2,3320.0,3.84,390.3,0.0637,0.046
1,5,334.5,480.2,337.3,1440.2,1730.3,3436.4,983.3,0.853,1642.4,3325.5,3.87,391.0,0.065,0.0443
1,6,333.2,479.5,340.2,1439.0,1748.8,3433.8,975.5,0.861,1638.4,3340.3,3.84,387.8,0.0641,0.0448
1,7,329.7,478.7,339.3,1451.7,1723.6,3454.7,975.9,0.863,1632.7,3319.1,3.83,390.0,0.0643,0.045
1,8,329.1,471.9,338.8,1447.7,1726.8,3432.2,978.7,0.845,1628.4,3327.1,3.77,388.6,0.0636,0.0453
1,9,331.3,476.0,338.7,1432.7,1738.8,3443.8,977.9,0.858,1638.7,3326.9,3.82,385.5,0.0637,0.0446
1,10,327.7,475.3,336.4,1428.7,1714.3,3438.4,975.6,0.857,1629.9,3326.4,3.84,389.0,0.0619,0.0456
1,11,331.1,475.0,337.4,1437.2,1724.0,3431.6,968.0,0.847,1621.1,3324.7,3.8,387.0,0.0628,0.0444
1,12,329.6,468.4,336.9,1431.3,1707.9,3414.1,974.4,0.844,1621.0,3313.1,3.84,386.3,0.0633,0.0437
1,13,332.7,474.7,337.6,1430.2,1724.0,3432.6,973.8,0.843,1610.7,3320.0,3.75,385.6,0.0628,0.0438
1,14,329.6,470.4,334.8,1431.4,1708.7,3437.9,972.0,0.839,1604.2,3300.9,3.81,385.4,0.0625,0.0452
1,15,324.6,468.2,334.3,1429.4,1704.0,3420.4,965.2,0.844,1624.2,3304.6,3.78,383.1,0.0621,0.0448
1,16,327.0,475.9,333.3,1426.8,1705.2,3426.7,969.0,0.835,1607.5,3327.6,3.77,381.5,0.0618,0.0442
1,17,324.8,472.0,335.5,1418.7,1699.6,3412.3,965.8,0.827,1621.8,3314.5,3.73,382.2,0.0607,0.043
1,18,318.2,463.4,335.4,1414.5,1708.3,3413.5,972.1,0.835,1605.7,3318.8,3.74,381.6,0.0619,0.0433
1,19,326.7,463.0,334.1,1420.8,1691.2,3415.6,963.3,0.846,1600.0,3294.5,3.72,382.4,0.0614,0.0436
1,20,322.1,464.0,330.2,1405.3,1718.6,3419.3,962.3,0.821,1594.6,3294.9,3.74,381.2,0.0602,0.0438
1,21,323.6,462.3,331.4,1404.6,1663.9,3409.5,960.2,0.821,1594.2,3297.5,3.7,379.6,0.0613,0.0431
1,22,319.5,463.9,330.7,1407.9,1675.4,3411.8,965.8,0.828,1600.8,3262.2,3.72,381.1,0.0604,0.0421
1,23,320.9,462.2,330.1,1399.1,1694.1,3394.2,964.1,0.823,1586.2,3284.3,3.69,381.5,0.0605,0.0419
1,24,317.3,460.7,331.3,1398.5,1683.0,3396.6,960.0,0.818,1591.8,3272.6,3.71,379.5,0.0602,0.0417
1,25,319.6,455.3,331.0,1383.4,1666.1,3398.0,962.9,0.819,1583.8,3270.1,3.68,379.2,0.0609,0.0421
1,26,314.4,463.3,328.0,1386.4,1684.8,3392.6,956.1,0.816,1589.2,3284.4,3.65,381.6,0.06,0.0412
1,27,315.0,452.9,328.1,1384.8,1660.7,3395.7,956.9,0.809,1584.6,3283.9,3.64,377.0,0.0597,0.0416
1,28,316.4,458.0,325.6,1375.1,1655.7,3387.2,952.1,0.806,1566.8,3266.3,3.64,377.8,0.0592,0.0406
1,29,314.4,451.4,327.4,1383.5,1673.7,3374.6,954.2,0.809,1568.1,3271.7,3.62,379.7,0.0573,0.0412
1,30,311.3,455.2,325.3,1380.5,1655.6,3387.5,950.8,0.786,1560.9,3265.4,3.63,377.0,0.0587,0.0403
1,31,309.4,454.4,326.8,1373.5,1669.8,3373.1,946.9,0.8,1572.2,3253.9,3.67,373.8,0.0583,0.0404
1,32,311.3,452.1,322.2,1382.3,1645.9,3368.0,951.1,0.804,1565.7,3271.6,3.64,376.3,0.0568,0.0398
1,33,311.8,447.3,324.1,1371.6,1649.7,3367.7,946.3,0.79,1547.9,3262.1,3.6,374.9,0.0559,0.0383
1,34,307.0,449.3,324.5,1367.2,1630.4,3363.7,945.0,0.79,1530.5,3243.9,3.59,375.2,0.0566,0.04
1,35,307.4,443.6,316.3,1364.4,1638.0,3374.1,942.9,0.789,1541.2,3238.0,3.57,371.7,0.0571,0.0389
1,36,305.3,443.2,321.7,1352.0,1638.7,3342.9,942.2,0.79,1531.7,3245.4,3.6,372.1,0.0544,0.0381
1,37,308.7,442.2,320.6,1356.5,1630.3,3347.8,940.4,0.783,1534.0,3238.1,3.59,369.2,0.0568,0.0394
1,38,300.9,439.3,320.4,1343.5,1612.4,3347.4,941.9,0.776,1549.2,3237.3,3.55,372.0,0.0554,0.0382
1,39,302.8,443.5,320.3,1343.7,1600.0,3348.0,934.6,0.766,1527.4,3233.4,3.56,369.5,0.0551,0.0369
1,40,302.3,436.8,319.5,1342.0,1616.6,3337.4,937.5,0.775,1514.9,3228.8,3.52,365.4,0.0548,0.0371
1,41,299.2,433.7,317.6,1348.3,1602.9,3340.6,938.9,0.773,1529.5,3220.1,3.53,367.3,0.0545,0.0364
1,42,298.1,437.0,316.3,1330.2,1600.1,3327.7,937.1,0.759,1514.9,3222.1,3.5,365.4,0.0526,0.0369
1,43,296.3,433.4,313.4,1324.5,1594.7,3319.3,933.4,0.763,1503.0,3204.6,3.45,365.8,0.052,0.0355
1,44,296.8,436.6,315.3,1330.1,1591.2,3330.3,925.7,0.757,1509.0,3211.3,3.47,363.9,0.0522,0.0355
1,45,290.6,424.5,314.7,1331.8,1600.4,3320.8,930.7,0.762,1496.4,3195.1,3.46,361.4,0.0518,0.036
1,46,291.5,426.4,315.0,1318.5,1583.6,3322.5,931.5,0.754,1507.5,3202.7,3.43,363.6,0.0511,0.0349
1,47,292.0,417.6,312.4,1301.9,1572.6,3322.2,923.0,0.746,1503.7,3202.8,3.46,361.7,0.0517,0.0345
1,48,290.5,424.5,310.5,1312.6,1589.8,3294.2,920.5,0.752,1486.4,3203.0,3.4,361.9,0.0506,0.0346
1,49,291.5,417.3,308.9,1312.9,1565.5,3303.2,920.8,0.744,1473.1,3183.1,3.44,360.7,0.0509,0.0338
1,50,292.5,420.2,310.3,1302.0,1550.3,3283.9,915.9,0.748,1488.4,3183.4,3.39,361.1,0.0497,0.033
1,51,290.8,418.7,304.9,1290.9,1553.2,3296.9,917.8,0.731,1471.6,3183.7,3.37,358.1,0.0503,0.0329
1,52,285.8,409.4,308.5,1294.8,1551.3,3295.5,916.8,0.733,1471.4,3175.2,3.39,357.2,0.0478,0.0336
1,53,289.4,410.7,306.6,1278.8,1537.3,3284.3,909.9,0.726,1450.3,3168.5,3.33,355.2,0.0471,0.0334
1,54,284.9,405.9,305.0,1274.2,1528.9,3268.4,914.0,0.721,1461.0,3171.9,3.37,353.1,0.0492,0.0331
1,55,283.6,416.9,305.2,1280.6,1522.7,3283.0,910.3,0.717,1469.4,3161.3,3.32,354.6,0.0469,0.0323
1,56,282.6,408.9,300.4,1277.2,1520.4,3260.5,909.7,0.719,1438.0,3176.7,3.28,351.3,0.0461,0.0324
1,57,279.0,404.8,302.9,1260.3,1511.6,3260.0,908.0,0.718,1432.6,3155.9,3.31,351.3,0.0461,0.0306
1,58,275.1,404.3,300.9,1264.6,1511.6,3263.0,903.1,0.704,1435.2,3149.5,3.26,352.6,0.0466,0.0309
1,59,280.3,400.1,301.8,1251.9,1508.1,3248.8,905.3,0.705,1440.3,3135.7,3.25,349.7,0.0451,0.03
1,60,274.7,399.9,299.9,1245.8,1501.7,3256.6,897.3,0.7,1424.4,3143.4,3.25,350.0,0.0443,0.03
2,1,332.8,481.4,339.8,1449.9,1731.5,3455.6,981.9,0.865,1662.9,3331.2,3.88,389.7,0.0653,0.0462
2,2,335.2,481.5,339.3,1449.1,1743.4,3461.9,977.0,0.848,1639.7,3331.5,3.85,389.9,0.0658,0.0465
2,3,334.2,477.7,339.0,1445.1,1735.3,3436.0,977.7,0.856,1641.0,3328.0,3.86,388.8,0.0644,0.0461
2,4,333.4,479.3,340.3,1449.7,1738.1,3445.1,980.7,0.858,1637.0,3327.6,3.81,387.9,0.0632,0.0453
2,5,336.6,476.4,340.2,1445.2,1727.9,3455.2,979.8,0.846,1648.3,3319.6,3.83,390.0,0.0643,0.0463
2,6,334.8,472.7,338.0,1445.8,1727.2,3442.1,979.9,0.857,1630.4,3327.2,3.82,386.9,0.0635,0.0457
2,7,332.5,476.8,336.7,1440.7,1721.1,3435.1,976.3,0.845,1641.8,3342.3,3.84,386.8,0.064,0.0444
2,8,331.2,477.6,338.9,1432.5,1731.0,3448.9,981.4,0.848,1627.2,3323.0,3.75,387.3,0.0638,0.0449
2,9,328.0,474.6,336.5,1444.1,1717.8,3436.3,974.7,0.854,1611.2,3318.4,3.83,387.1,0.0627,0.0453
2,10,331.7,473.7,335.5,1430.8,1720.8,3429.8,968.8,0.844,1629.5,3315.3,3.81,387.4,0.0643,0.0462
2,11,331.9,469.5,332.9,1433.6,1721.8,3425.6,974.5,0.843,1631.1,3314.6,3.81,384.2,0.0631,0.0447
